order_item_id,order_id,product_id,quantity,unit_price,discount_pct,line_total
1,1,394,1,44.44,-0.027,44.44
2,1,136,1,165.41,0.138,165.41
3,2,206,1,57.22,0.05,57.22
4,3,391,3,73.4,0.129,220.2
5,3,131,2,66.35,0.119,132.7
6,4,385,1,42.96,0.186,42.96
7,4,382,3,70.39,-0.039,211.17
8,4,55,1,187.32,0.069,187.32
9,5,104,1,102.21,0.117,102.21
10,5,200,1,73.17,0.079,73.17
11,6,206,2,55.67,0.076,111.34
12,7,11,1,151.48,0.144,151.48
13,8,150,1,60.25,0.08,60.25
14,8,97,1,120.98,0.218,120.98
15,8,162,1,26.69,0.191,26.69
16,9,63,1,259.32,0.112,259.32
17,10,340,1,88.21,0.175,88.21
18,11,291,1,81.07,-0.03,81.07
19,12,144,2,11.31,0.081,22.62
20,12,354,2,84.51,0.113,169.02
21,12,21,2,229.2,0.045,458.4
22,13,290,1,92.18,0.145,92.18
23,13,57,1,308.47,0.083,308.47
24,13,293,3,28.52,0.062,85.56
25,13,179,1,73.7,0.098,73.7
26,14,195,2,95.01,0.126,190.02
27,14,118,1,91.2,0.145,91.2
28,15,238,1,79.78,0.223,79.78
29,16,106,1,48.27,0.138,48.27
30,17,396,3,8.16,0.072,24.48
31,18,121,2,62.26,0.119,124.52
32,18,246,1,30.79,0.08,30.79
33,18,311,1,66.88,0.15,66.88
34,18,124,1,24.2,0.135,24.2
35,18,54,1,262.95,0.09,262.95
36,19,77,1,714.07,0.139,714.07
37,20,158,1,103.48,0.048,103.48
38,21,342,1,61.69,0.25,61.69
39,22,80,2,211.65,0.034,423.3
40,22,306,1,46.76,0.021,46.76
41,23,394,2,41.38,0.044,82.76
42,24,308,1,61.43,0.083,61.43
43,25,353,1,18.85,0.145,18.85
44,25,76,1,116.06,0.211,116.06
45,26,4,2,198.25,0.159,396.5
46,26,356,1,12.56,0.172,12.56
47,26,319,1,47.41,0.071,47.41
48,27,148,2,112.32,0.115,224.64
49,28,281,1,49.57,0.177,49.57
50,28,380,1,65.12,-0.027,65.12
51,29,124,1,23.86,0.147,23.86
52,30,123,1,134.57,0.126,134.57
53,30,254,1,92.89,0.069,92.89
54,31,29,1,339.0,0.152,339.0
55,32,123,2,159.01,-0.032,318.02
56,32,86,1,49.83,0.126,49.83
57,33,76,3,152.84,-0.04,458.52
58,33,17,2,80.03,0.109,160.06
59,34,6,1,322.53,0.111,322.53
60,34,295,1,218.8,-0.01,218.8
61,35,372,3,13.15,0.086,39.45
62,35,183,1,115.13,-0.05,115.13
63,35,51,2,97.48,0.089,194.96
64,36,302,1,122.89,0.099,122.89
65,37,317,1,48.83,0.128,48.83
66,38,53,1,316.55,0.146,316.55
67,39,15,1,257.23,0.161,257.23
68,39,122,1,70.54,-0.067,70.54
69,39,219,1,79.7,0.091,79.7
70,40,304,1,123.32,0.036,123.32
71,41,77,1,702.33,0.153,702.33
72,41,307,1,60.63,0.093,60.63
73,42,329,1,88.1,-0.035,88.1
74,43,19,1,144.79,0.163,144.79
75,43,225,1,32.38,0.227,32.38
76,44,91,3,130.92,0.122,392.76
77,45,178,1,88.04,0.154,88.04
78,45,74,2,355.8,0.11,711.6
79,46,326,1,46.84,0.107,46.84
80,46,344,1,176.17,0.016,176.17
81,47,261,1,95.74,0.126,95.74
82,47,301,1,23.71,0.126,23.71
83,48,177,5,17.21,0.187,86.05
84,49,322,3,49.27,0.154,147.81
85,49,203,2,89.01,0.158,178.02
86,49,292,1,40.39,0.036,40.39
87,49,253,3,96.82,0.149,290.46
88,49,191,1,46.21,0.033,46.21
89,50,215,2,52.3,0.102,104.6
90,50,53,2,335.93,0.094,671.86
91,51,290,1,93.99,0.128,93.99
92,51,285,3,123.34,0.113,370.02
93,52,216,1,65.99,0.066,65.99
94,53,217,1,20.89,0.248,20.89
95,54,102,1,166.92,0.023,166.92
96,54,173,1,51.08,0.186,51.08
97,55,364,1,172.37,0.028,172.37
98,56,380,1,53.24,0.161,53.24
99,56,261,1,103.46,0.056,103.46
100,57,373,3,82.5,-0.027,247.5
101,57,241,1,167.17,0.092,167.17
102,57,167,3,41.85,0.177,125.55
103,58,250,1,98.01,0.168,98.01
104,59,311,1,71.82,0.088,71.82
105,60,393,1,11.74,0.068,11.74
106,60,149,2,38.9,0.107,77.8
107,61,186,1,11.99,0.113,11.99
108,61,219,1,87.44,0.003,87.44
109,62,287,1,75.44,0.049,75.44
110,62,271,1,152.2,0.105,152.2
111,62,191,2,41.53,0.131,83.06
112,63,192,2,16.86,0.132,33.72
113,63,21,4,199.67,0.168,798.68
114,64,220,1,93.81,0.113,93.81
115,65,190,1,86.49,0.141,86.49
116,66,62,1,352.15,-0.037,352.15
117,67,126,1,89.65,0.16,89.65
118,67,39,1,285.34,0.021,285.34
119,68,247,1,101.26,0.154,101.26
120,69,107,2,55.7,0.056,111.4
121,69,290,1,93.18,0.135,93.18
122,69,122,1,68.35,-0.034,68.35
123,70,289,1,197.07,0.034,197.07
124,70,180,1,88.87,0.12,88.87
125,71,349,1,116.86,0.172,116.86
126,71,111,1,87.6,0.039,87.6
127,71,107,2,49.39,0.163,98.78
