order_id,order_date,customer_id,region,last_touch_channel,device_type,shipping_cost,order_total,is_returned,returned_amount
1,2023-11-15,8824,Midwest,Email,Mobile,12.46,222.31,False,0.0
2,2023-01-19,11875,Midwest,Paid Search,Desktop,8.55,65.77,False,0.0
3,2023-09-03,13055,West,Social,Tablet,6.48,359.38,False,0.0
4,2025-03-16,9969,Northeast,Social,Desktop,7.65,449.1,False,0.0
5,2023-05-27,12673,West,Social,Desktop,9.64,185.02,False,0.0
6,2023-07-17,7027,Midwest,Display,Mobile,4.63,115.97,False,0.0
7,2023-02-21,1887,Northeast,Social,Desktop,5.17,156.65,False,0.0
8,2024-04-03,7364,West,Display,Mobile,4.72,212.64,False,0.0
9,2023-03-03,3263,Midwest,Organic Search,Mobile,14.15,273.47,False,0.0
10,2024-10-26,13470,South,Email,Mobile,6.1,94.31,False,0.0
11,2023-06-27,3157,Midwest,Direct,Mobile,6.82,87.89,False,0.0
12,2024-11-10,1999,South,Referral,Desktop,3.21,653.25,False,0.0
13,2025-05-06,2497,Midwest,Referral,Mobile,7.91,567.82,False,0.0
14,2024-10-01,10074,Midwest,Direct,Desktop,11.54,292.76,False,0.0
15,2024-09-18,1971,West,Referral,Desktop,7.74,87.52,False,0.0
16,2023-11-14,11267,Northeast,Organic Search,Mobile,13.33,61.6,False,0.0
17,2024-02-29,5213,West,Organic Search,Mobile,4.76,29.24,False,0.0
18,2023-01-25,7671,Midwest,Display,Desktop,1.04,510.38,False,0.0
19,2025-04-21,9755,Northeast,Referral,Tablet,2.91,716.98,False,0.0
20,2025-05-31,9182,South,Paid Search,Mobile,6.06,109.54,False,0.0
21,2023-07-06,10858,Northeast,Direct,Mobile,14.47,76.16,True,63.56
22,2025-04-01,11150,Northeast,Email,Desktop,3.68,473.74,False,0.0
23,2023-05-27,8679,West,Direct,Mobile,9.78,92.54,False,0.0
24,2024-03-07,693,Northeast,Social,Mobile,10.53,71.96,False,0.0
25,2024-01-07,1517,Northeast,Social,Mobile,5.35,140.26,False,0.0
26,2024-07-08,6051,South,Organic Search,Mobile,5.66,462.13,False,0.0
27,2025-02-09,653,Midwest,Social,Tablet,13.09,237.73,False,0.0
28,2025-05-23,4914,Northeast,Social,Mobile,9.43,124.12,True,52.22
29,2023-03-27,7868,Northeast,Direct,Mobile,8.65,32.51,False,0.0
30,2023-06-20,4852,South,Paid Search,Desktop,6.33,233.79,False,0.0
31,2023-08-04,14154,Midwest,Email,Mobile,5.7,344.7,False,0.0
32,2023-06-16,10537,Northeast,Display,Mobile,6.58,374.43,False,0.0
33,2024-04-05,5141,South,Organic Search,Desktop,10.26,628.84,False,0.0
34,2025-01-18,1962,West,Email,Mobile,12.35,553.68,False,0.0
35,2025-05-19,13996,Midwest,Paid Search,Desktop,3.98,353.52,False,0.0
36,2024-04-09,1049,Northeast,Social,Desktop,4.31,127.2,False,0.0
